id,name,party_before,party_after,rollcall_id,rollcall_date,coalition_start_date,coalition_before,coalition_after,legislature,legislature_year
73449,Fábio Feldmann,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73450,Fausto Martello,PDS>PP,PDS>PP,1324,1996-05-08 18:19:00,1996-04-26,False,True,50,2
73456,Waldemir Moka,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73457,Airton Roveda,PSDB,PTB,1548,2001-09-25 18:23:00,1999-01-01,True,False,51,3
73457,Airton Roveda,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73457,Airton Roveda,PTB,PCB>PPS,2131,2005-11-08 17:12:00,2005-07-23,True,False,52,3
73457,Airton Roveda,PCB>PPS,PL>PR,2355,2007-03-26 19:24:00,2007-01-01,False,True,53,1
73458,Alex Canziani,PTB,PTB,523,2009-10-06 21:38:00,2009-09-28,True,False,53,3
73460,Gustavo Fruet,PMDB,PMDB,179,2004-01-28 12:30:00,2004-01-23,False,True,52,2
73460,Gustavo Fruet,PMDB,PSDB,1571,2005-02-23 19:14:00,2005-02-01,True,False,52,3
73461,Iris Simões,PTB,PL>PR,103,2010-02-23 20:54:00,2009-09-28,False,True,53,4
73463,Osmar Serraglio,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73464,Oliveira Filho,PSDB,PL>PR,1865,2001-02-06 17:42:00,1999-01-01,True,False,51,3
73465,Rafael Greca,PFL>DEM,PFL>DEM,579,2002-03-19 18:50:00,2002-03-06,True,False,51,4
73466,Rubens Bueno,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73467,Santos Filho,PFL>DEM,PFL>DEM,579,2002-03-19 18:50:00,2002-03-06,True,False,51,4
73468,Antônio Carlos Konder Reis,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73471,Fernando Coruja,PCB>PPS,PCB>PPS,1571,2005-02-23 19:14:00,2005-02-01,True,False,52,3
73472,Gervásio Silva,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73473,Leodegar Tiscoski,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73475,Renato Vianna,PMDB,PMDB,906,1992-12-02 20:17:00,1992-10-01,False,True,49,2
73477,Alceu Collares,PDT,PDT,728,2004-01-27 17:24:00,2004-01-23,True,False,52,2
73478,Beto Albuquerque,PSB,PSB,368,2013-10-08 00:23:00,2013-10-03,True,False,54,3
73480,Cezar Schirmer,PMDB,PMDB,179,2004-01-28 12:30:00,2004-01-23,False,True,52,2
73483,Luis Carlos Heinze,PDS>PP,PDS>PP,1161,2005-08-23 18:55:00,2005-07-23,False,True,52,3
73486,Pompeo de Mattos,PDT,PDT,728,2004-01-27 17:24:00,2004-01-23,True,False,52,2
73486,Pompeo de Mattos,PDT,PDT,613,2007-04-02 19:17:00,2007-04-02,False,True,53,1
73487,Roberto Argenta,PFL>DEM,PHS,2032,1999-10-06 17:46:00,1999-01-01,True,False,51,1
73491,Pedro Bittencourt,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73495,Manoel Moreira,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73495,Manoel Moreira,PMDB,PDS>PP,244,1993-01-12 19:02:00,1992-10-01,True,False,49,3
73495,Manoel Moreira,PDS>PP,PMDB,857,1993-09-15 12:28:00,1993-08-31,False,True,49,3
73503,Artur da Tavola,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73507,Rose de Freitas,PSDB,PSDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
73507,Rose de Freitas,PMDB,PMDB,729,2004-01-28 17:15:00,2004-01-23,False,True,52,2
73530,Hélio Rosas,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73531,Ivan Valente,PT,PSOL,775,2005-10-04 18:08:00,2005-07-23,True,False,52,3
73533,João Mellão Neto,PL>PR,PFL>DEM,1084,1995-03-15 17:06:00,1995-01-01,False,True,50,1
73535,Jorge Tadeu Mudalen,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73535,Jorge Tadeu Mudalen,PMDB,PDS>PP,1984,1996-01-17 16:50:00,1995-01-01,True,False,50,2
73535,Jorge Tadeu Mudalen,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73539,José de Abreu,PSDB,PTN,2080,1999-10-19 19:19:00,1999-01-01,True,False,51,1
73542,José Pinotti,PMDB,PSB,457,1997-10-07 18:28:00,1996-04-26,True,False,50,3
73544,Koyu Iha,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73546,Luiz Carlos Santos,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73548,Marcelo Barbieri,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73549,Marquinho Chedid,PSDB,PSD,1084,1995-03-15 17:06:00,1995-01-01,True,False,50,1
73552,Michel Temer,PMDB,PMDB,182,2004-01-28 21:55:00,2004-01-23,False,True,52,2
73553,Nelson Marquezelli,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73553,Nelson Marquezelli,PTB,PTB,1582,1994-02-02 13:46:00,1994-01-25,True,False,49,4
73553,Nelson Marquezelli,PTB,PTB,1201,2009-09-30 17:25:00,2009-09-28,True,False,53,3
73554,De Velasco,PSDB,PSD,1084,1995-03-15 17:06:00,1995-01-01,True,False,50,1
73555,Paulo Lima,PMDB,PMDB,729,2004-01-28 17:15:00,2004-01-23,False,True,52,2
73557,Ricardo Izar,PL>PR,PL>PR,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73557,Ricardo Izar,PL>PR,PL>PR,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73557,Ricardo Izar,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73557,Ricardo Izar,PSDB,PTB,2209,2001-10-02 18:06:00,1999-01-01,True,False,51,3
73558,Robson Tuma,PL>PR,PL>PR,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73558,Robson Tuma,PL>PR,PL>PR,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73558,Robson Tuma,PSL,PFL>DEM,831,1997-10-14 19:12:00,1996-04-26,False,True,50,3
73558,Robson Tuma,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73559,Salvador Zimbaldi,PSDB,PTB,871,2003-08-12 11:59:00,2003-01-01,False,True,52,1
73559,Salvador Zimbaldi,PDT,PROS,368,2013-10-08 00:23:00,2013-10-03,True,False,54,3
73562,Tuga Angerami,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73563,Ushitaro Kamia,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73564,Vadão Gomes,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73564,Vadão Gomes,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73564,Vadão Gomes,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73565,Valdemar Costa Neto,PL>PR,PL>PR,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73565,Valdemar Costa Neto,PL>PR,PL>PR,553,1992-11-04 19:08:00,1992-10-01,True,False,49,2
73571,Osvaldo Sobrinho,PTB,PSDB,1610,2000-02-22 18:12:00,1999-01-01,False,True,51,2
73571,Osvaldo Sobrinho,PSDB,PTB,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73573,Yvonilton Gonçalves,PFL>DEM,PFL>DEM,359,2002-04-10 19:46:00,2002-03-06,True,False,51,4
73574,Reginaldo Germano,PFL>DEM,PFL>DEM,579,2002-03-19 18:50:00,2002-03-06,True,False,51,4
73574,Reginaldo Germano,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73575,Joel De Hollanda,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73576,Paulo de Almeida,PTB,PTB,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73576,Paulo de Almeida,PTB,PSD,906,1992-12-02 20:17:00,1992-10-01,True,False,49,2
73576,Paulo de Almeida,PDS>PP,PST,962,2000-08-01 18:38:00,1999-01-01,True,False,51,2
73576,Paulo de Almeida,PST,PFL>DEM,1188,2001-10-17 18:20:00,1999-01-01,False,True,51,3
73579,Alberto Fraga,PMDB,PTB,482,2003-11-12 20:27:00,2003-01-01,False,True,52,1
73579,Alberto Fraga,PTB,PFL>DEM,759,2005-07-13 18:04:00,2005-05-20,True,False,52,3
73584,Antonio Carlos Mendes Thame,PSDB,PSDB,906,1992-12-02 20:17:00,1992-10-01,False,True,49,2
73585,Clovis Volpi,PSDB,PV,1377,2001-10-03 18:12:00,1999-01-01,True,False,51,3
73586,Júlio Delgado,PCB>PPS,PCB>PPS,1571,2005-02-23 19:14:00,2005-02-01,True,False,52,3
73586,Júlio Delgado,PCB>PPS,PSB,759,2005-07-13 18:04:00,2005-05-20,False,True,52,3
73586,Júlio Delgado,PSB,PSB,368,2013-10-08 00:23:00,2013-10-03,True,False,54,3
73587,José Aleksandro,PFL>DEM,PSL,1613,2000-02-23 17:29:00,1999-01-01,True,False,51,2
73588,Mauro Benevides,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73592,Kátia Abreu,PFL>DEM,PFL>DEM,579,2002-03-19 18:50:00,2002-03-06,True,False,51,4
73594,Nilmar Ruiz,PFL>DEM,PL>PR,524,2009-11-10 18:25:00,2009-09-28,False,True,53,3
73595,Chico Sardelli,PFL>DEM,PFL>DEM,206,2002-03-12 18:08:00,2002-03-06,True,False,51,4
73596,Saulo Coelho,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73598,Wilson Cunha,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73598,Wilson Cunha,PTB,PTB,1582,1994-02-02 13:46:00,1994-01-25,True,False,49,4
73603,Orlando Fantazzini,PT,PSOL,1163,2005-10-11 16:10:00,2005-07-23,True,False,52,3
73612,Paulo Rattes,PST,PSB,1519,2003-04-01 19:04:00,2003-01-01,False,True,52,1
73630,Júlio Cabral,PTR,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73630,Júlio Cabral,PDS>PP,PTR,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73631,Antônio Barbara,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73634,Avelino Costa,PL>PR,PL>PR,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73634,Avelino Costa,PL>PR,PL>PR,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73637,Carlos Kayath,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73637,Carlos Kayath,PTB,PTB,1582,1994-02-02 13:46:00,1994-01-25,True,False,49,4
73639,Carlos Roberto Massa,PTB,PTB,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73639,Carlos Roberto Massa,PTB,PTB,537,1994-02-23 12:07:00,1994-01-25,True,False,49,4
73641,Carlos Azambuja,PDS>PP,PDS>PP,553,1992-11-04 19:08:00,1992-10-01,True,False,49,2
73643,Wagner Salustiano,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73644,Welson Gasparini,PDS>PP,PSDB,2183,1995-09-20 17:01:00,1995-01-01,False,True,50,1
73646,Antonio Joaquim,PDT,PSDB,706,1997-11-20 12:43:00,1996-04-26,False,True,50,3
73647,Augustinho Freitas,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73647,Augustinho Freitas,PTB,PDS>PP,244,1993-01-12 19:02:00,1992-10-01,True,False,49,3
73647,Augustinho Freitas,PDS>PP,PDS>PP,882,1996-08-06 17:42:00,1996-04-26,False,True,50,2
73650,Rodrigues Palma,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73650,Rodrigues Palma,PTB,PTB,1582,1994-02-02 13:46:00,1994-01-25,True,False,49,4
73651,Rogério Silva,PDS>PP,PFL>DEM,1984,1996-01-17 16:50:00,1995-01-01,False,True,50,2
73652,Tete Bezerra,PMDB,PMDB,180,2004-01-28 19:46:00,2004-01-23,False,True,52,2
73653,Welinton Fagundes,PL>PR,PL>PR,1577,1992-05-06 18:04:00,1992-04-15,False,True,49,2
73653,Welinton Fagundes,PL>PR,PL>PR,906,1992-12-02 20:17:00,1992-10-01,True,False,49,2
