id,id_sessao,proposicao_id,data,resumo,obj_votacao
1506,5099,599380,2013-11-06 19:23:00,"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 287; não: 97; abstenções: 6; total: 390.
DCD 07/11/13 PÁG 52538 COL 02.",URGÊNCIA PARA APRECIAÇÃO DO PDC Nº 1361/2013 DO SF
529,5099,599142,2013-11-06 20:53:00,Rejeitado o Requerimento. Sim: 73; não: 255; abstenções: 5; total: 333.,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR UMA SESSÃO
530,5122,599142,2013-11-27 21:02:00,Aprovado o Projeto de Decreto Legislativo nº 1.361/2013. Sim: 230; não: 60; abstenções: 8; total: 298.,PROJETO DE DECRETO LEGISLATIVO
452,5128,436536,2013-12-03 20:52:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 368 de 2009. Sim: 353; Total: 353.",PRIMEIRO TURNO - SUBSTITUTIVO DA COMISSÃO ESPECIAL
361,5130,522343,2013-12-04 20:12:00,"Rejeitadas as Emendas nºs 1 e 2, com parecer pela rejeição. Sim: 47; não: 281; abstenções: 3; total: 331.","EMENDAS NºS 1 E 2, COM PARECER PELA REJEIÇÃO"
362,5130,522343,2013-12-04 20:44:00,,PRIMEIRO TURNO
363,5130,522343,2013-12-04 21:13:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 90 de 2011. Sim: 313; não: 1; abstenção: 1 ; total: 315.
DCD de 05/12/13 PÁG 57693 COL 01.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
791,5131,584760,2013-12-05 11:34:00,,PROJETO DE DECRETO LEGISLATIVO
454,5137,590058,2013-12-11 15:30:00,Rejeitado o Requerimento. Sim: 10; não: 257; abstenções: 2; total: 269.,REQUERIMENTO DE RETIRADA DE PAUTA
453,5138,436536,2013-12-11 18:25:00,,SEGUNDO TURNO
2346,5138,512308,2013-12-11 18:59:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 55 de 2011. Sim: 340; Total: 340. 
DCD de 12/12/13 PÁG 59099 COL 01.",SUBSTITUTIVO - PRIMEIRO TURNO
2347,5138,512308,2013-12-11 19:28:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 55 de 2011. Sim: 383; Total: 383.  
DCD de 12/12/13 PÁG 59122 COL 01.",SEGUNDO TURNO
154,5144,604604,2013-12-17 16:23:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 271; não: 18; abstenções: 3; total: 292.,URGÊNCIA PARA APRECIAÇÃO DO PRC Nº 228/2013
1723,5151,302638,2014-02-04 21:30:00,Mantido o parágrafo. Sim: 206; não: 159; abstenção: 1; total: 366.,DVS - PP - § 19 DO ART. 85 DA EMENDA AGLUTINATIVA
77,5154,587916,2014-02-05 17:54:00,"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 293 de 2013. Sim: 374 ; Total: 374.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - 1º TURNO
78,5154,587916,2014-02-05 18:44:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 293 de 2013. Sim: 396 ; total: 396.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO
350,5159,605986,2014-02-11 17:56:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 321; não: 4; abstenção: 1; total: 326.,URGÊNCIA PARA APRECIAÇÃO DO PDC 1263/2013
1724,5160,302638,2014-02-11 20:57:00,Aprovada a Emenda Aglutinativa nº 7. Sim: 279; não: 102; abstenções: 3; total: 384.,DVS - PTB - EMENDA AGLUTINATIVA Nº 7
463,5162,590335,2014-02-12 21:23:00,"Aprovado o Parecer do Conselho de Ética e Decoro Parlamentar, pela procedência da Representação nº 22/2013 e perda do mandato parlamentar do Sr. Natan Donadon. Sim: 467; Abst.: 01; Total de votos: 468.",PARECER DO CONSELHO DE ÉTICA E DECORO PARLAMENTAR
204,5163,543107,2014-02-13 12:12:00,"Prejudicado o Requerimento por falta de ""quorum"" (OBSTRUÇÃO).",REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES
1317,5170,606547,2014-02-19 19:54:00,,REQUERIMENTO DE URGÊNCIA PARA APRECIAÇÃO DO PRC 237/2014
930,5170,567197,2014-02-19 20:38:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 247 de 2013. Sim: 392; abstenção: 02 ; total: 394.
DCD de 20/02/14 PÁG 243 COL 01.",1º TURNO - SUBSTITUTIVO DA COMISSÃO ESPECIAL
984,5175,606381,2014-02-25 19:17:00,Rejeitado o Requerimento. Sim: 80; não: 261; abstenções: 4; total: 345.,REQUERIMENTO DE RETIRADA DE PAUTA
985,5186,606381,2014-03-11 18:16:00,Rejeitado o Requerimento. Sim: 38; não: 216; abstenções: 11; total: 265.,REQUERIMENTO DE RETIRADA DE PAUTA
986,5186,606381,2014-03-11 19:54:00,Aprovado o Requerimento de Constituição de Comissão Externa. Sim: 267; não: 28; abstenção: 15; total: 310.,REQUER CRIAÇÃO DE COMISSÃO EXTERNA TEMPORÁRIA
931,5190,567197,2014-03-12 18:34:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 247 de 2013. Sim: 424; não: 1; abstenção: 1; total: 426.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
773,5197,525239,2014-03-19 20:16:00,"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 103 de 2011, apensada. Sim: 364; Não: 03; Abstenção: 03; Total: 370.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - 1º TURNO
2162,5203,586251,2014-03-25 21:07:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 290 de 2013. Sim: 399; não: 01; total: 400.",SUBSTITUTIVO DA COMISSÃO ESPECIAL - 1º TURNO
1379,5206,600255,2014-03-26 20:43:00,Aprovado o Projeto de Lei nº 6.738 de 2013. Sim: 314; não: 36; abstenção: 06; total: 356.,PROJETO DE LEI
305,5206,601914,2014-03-26 22:04:00,,SUBEMENDA AO SUBSTITUTIVO DA COMISSÃO DE EDUCAÇÃO
